Y,ETMOD,315520N0345805E,R,את מודיעין
Y,EVLYM,324918N0350901E,M,אבליים
N,ESIDM,230054N0345918E,R,אבן וסיד מזרח
N,AVNON,305834N0345819E,R,אבנון
N,OHLIM,311137N0344821E,M,אוהלים
N,FAKIM,311927N0343713E,M,אופקים
Y,ORAKV,323017N0345543E,R,אור עקיבא
N,URRIM,311825N0343134E,M,אורים
Y,AHIUD,325448N0351052E,M,אחיהוד
N,IKKEA,315705N0344613E,R,איקאה
N,ALLON,320248N0352209E,M,אלון
Y,ELYKM,323817N0350354E,M,אלייקים
Y,ALMOG,314729N0352726E,M,אלמוג
N,EZBOT,303625N0343152E,R,אצבעות
N,ARGAM,321029N0353201E,R,ארגמן
Y,ESHEL,311957N0344158E,M,אשל הנשיא
N,ESTOL,314645N0350040E,R,אשתאול
N,ORRAH,294235N0345952E,M,באר אורה
N,MENUA,301806N0350804E,M,באר מנוחה
N,BUDRS,315809N0345837E,R,בודרוס
Y,GOVRI,313623N0345334E,M,בית גוברין
N,BOVED,315502N0344618E,M,בית עובד
Y,KAMMA,312638N0344600E,M,בית קמה
N,SHMSH,314525N0345856E,R,בית שמש
Y,GALIM,325035N0345853E,M,בת גלים
Y,BTSLM,323602N0350016E,R,בת שלמה
N,VULOT,311338N0342735E,R,גבולות
N,GBRNA,303904N0343100E,M,גבעת ברנע
N,GVLHV,311845N0344719E,M,גבעת להב
Y,VERAM,313543N0343638E,R,גברעם
Y,GORAL,311951N0344711E,M,גורל
Y,GILAT,312021N0343914E,M,גילת
Y,GSHML,322708N0345648E,M,גן שמואל
Y,GEFEN,314435N0345213E,M,גפן
N,GSIRI,310718N0343827E,M,גשר אירי
Y,DIMON,310412N0350025E,M,דימונה
Y,DALIA,323550N0350459E,M,דליה
Y,HAONN,324342N0353738E,M,האון
N,HGSHRM,331332N0353755E,M,הגושרים
Y,SOLLM,324535N0351357E,M,הסוללים
N,HRGVS,303715N0345700E,M,הר גבס
N,HARIF,303007N0343431E,R,הר חריף
N,HRNSS,302235N0343655E,R,הר נס
Y,ZHRYA,314208N0345637E,M,זכריה
N,HOLOT,305939N0342137E,R,חולות
N,HORA,311718N0345550E,M,חורא
Y,OVDAT,304817N0344736E,M,חורבות עבדת
Y,HAZVA,304631N0351415E,R,חצבה
